status,product_area,response,justification,request_type
replied,Account,"---
title: ""How do I get access to Claude in Amazon Bedrock?""
title_slug: ""how-do-i-get-access-to-claude-in-amazon-bedrock""
source_url: ""https://support.claude.com/en/articles/7996920-how-do-i-get-access-to-claude-in-amazon-bedrock""
last_updated_iso: ""2026-03-16T21:16:50Z""
article_id: ""7929295""
breadcrumbs:
  - ""Amazon Bedrock""
---

# How do I get access to Claude in Amazon Bedrock?",Request type: product_issue | Risk level: medium | Urgency: high | Decision: Replied (matched to How do I get access to Claude in Amazon Bedrock?),product_issue
escalated,Assessments,"Thank you for reporting this issue. Due to the sensitive nature of your request (involving security, fraud, legal, or billing concerns), we're escalating this to our specialized support team for priority review. You'll hear from us shortly.","Request type: product_issue | Risk level: high | Urgency: low | Decision: Escalated (High-risk category (fraud, security, legal, billing))",product_issue
escalated,Payments,"Thank you for reporting this issue. Due to the sensitive nature of your request (involving security, fraud, legal, or billing concerns), we're escalating this to our specialized support team for priority review. You'll hear from us shortly.","Request type: product_issue | Risk level: high | Urgency: medium | Decision: Escalated (High-risk category (fraud, security, legal, billing))",product_issue
escalated,Interviews,"Thank you for reporting this issue. Due to the sensitive nature of your request (involving security, fraud, legal, or billing concerns), we're escalating this to our specialized support team for priority review. You'll hear from us shortly.","Request type: bug | Risk level: high | Urgency: high | Decision: Escalated (High-risk category (fraud, security, legal, billing))",bug
replied,General Help,"---
title: ""Enabling Outcome Data and Public Link with Greenhouse""
title_slug: ""enabling-outcome-data-and-public-link-with-greenhouse""
source_url: ""https://support.hackerrank.com/articles/3593554348-enabling-outcome-data-and-public-link-with-greenhouse""
article_slug: ""3593554348-enabling-outcome-data-and-public-link-with-greenhouse""
last_updated_exact: ""Dec 28, 2024, 5:01 AM""
last_updated_relative: ""Last updated 1 year ago""
breadcrumbs:
  - ""Integrations""
  - ""Applicant Tracking Systems""
  - ""Greenhouse""
---

# Enabling Outcome Data and Public Link with Greenhouse",Request type: bug | Risk level: low | Urgency: medium | Decision: Replied (matched to Enabling Outcome Data and Public Link with Greenhouse),bug
escalated,General Help,"Thank you for reporting this issue. Due to the sensitive nature of your request (involving security, fraud, legal, or billing concerns), we're escalating this to our specialized support team for priority review. You'll hear from us shortly.","Request type: product_issue | Risk level: high | Urgency: medium | Decision: Escalated (High-risk category (fraud, security, legal, billing))",product_issue
replied,General Help,"---
title: ""July 2025 Release Notes Screen Screen Features Available in the AI Add-on Package Skills Platform Developer Experience Interview Interview Features Available in the AI Add-on Package SkillUp Engage""
title_slug: ""july-2025-release-notes-screen-screen-features-available-in-the-ai-add-on-package-skills-platform-developer-experience-interview-interview-features-available-in-the-ai-add-on-package-skillup-engage""
source_url: ""https://support.hackerrank.com/articles/3121307537-july-2025-release-notes""
article_slug: ""3121307537-july-2025-release-notes""
last_updated_exact: ""Sep 19, 2025, 3:43 PM""
last_updated_relative: ""Last updated 7 months ago""
breadcrumbs:
  - ""General Help""
  - ""Release Notes""
---

# July 2025 Release Notes Screen Screen Features Available in the AI Add-on Package Skills Platform Developer Experience Interview Interview Features Available in the AI Add-on Package SkillUp Engage",Request type: bug | Risk level: low | Urgency: high | Decision: Replied (matched to July 2025 Release Notes Screen Screen Features Available in the AI Add-on Package Skills Platform Developer Experience Interview Interview Features Available in the AI Add-on Package SkillUp Engage),bug
replied,General Help,"---
title: ""Create a Question Creating a question from the Library Creating a question while editing a test""
title_slug: ""create-a-question-creating-a-question-from-the-library-creating-a-question-while-editing-a-test""
source_url: ""https://support.hackerrank.com/articles/4894957291-creating-questions""
article_slug: ""4894957291-creating-questions""
last_updated_exact: ""Mar 30, 2026, 6:07 PM""
last_updated_relative: ""Last updated 4 weeks ago""
breadcrumbs:
  - ""Library""
  - ""Manage Question""
---

# Create a Question Creating a question from the Library Creating a question while editing a test",Request type: bug | Risk level: low | Urgency: medium | Decision: Replied (matched to Create a Question Creating a question from the Library Creating a question while editing a test),bug
replied,General Help,"---
title: ""Create a Question Creating a question from the Library Creating a question while editing a test""
title_slug: ""create-a-question-creating-a-question-from-the-library-creating-a-question-while-editing-a-test""
source_url: ""https://support.hackerrank.com/articles/4894957291-creating-questions""
article_slug: ""4894957291-creating-questions""
last_updated_exact: ""Mar 30, 2026, 6:07 PM""
last_updated_relative: ""Last updated 4 weeks ago""
breadcrumbs:
  - ""Library""
  - ""Manage Question""
---

# Create a Question Creating a question from the Library Creating a question while editing a test",Request type: bug | Risk level: medium | Urgency: low | Decision: Replied (matched to Create a Question Creating a question from the Library Creating a question while editing a test),bug
escalated,General Help,"Thank you for reporting this issue. Due to the sensitive nature of your request (involving security, fraud, legal, or billing concerns), we're escalating this to our specialized support team for priority review. You'll hear from us shortly.","Request type: feature_request | Risk level: high | Urgency: low | Decision: Escalated (High-risk category (fraud, security, legal, billing))",feature_request
